year,new_sites,cultural,natural,mixed
1978,12,8,4,0
1979,45,34,8,3
1980,27,22,5,0
1981,26,15,9,2
1982,24,17,5,2
1983,29,19,9,1
1984,22,15,7,0
1985,30,25,4,1
1986,29,23,5,1
1987,41,32,7,2
1988,27,19,5,3
1989,7,4,2,1
1990,16,11,2,3
1991,22,16,6,0
1992,20,16,4,0
1993,33,29,4,0
1994,28,21,7,0
1995,29,23,6,0
1996,37,30,5,2
1997,45,37,7,1
1998,30,27,3,0
1999,48,35,11,2
2000,61,50,10,1
2001,31,25,6,0
2002,9,8,0,1
2003,24,19,5,0
2004,32,27,5,0
2005,24,17,7,0
2006,18,16,2,0
2007,22,16,5,1
2008,27,19,8,0
2009,13,11,2,0
2010,21,15,5,1
2011,25,21,3,1
2012,26,20,5,1
2013,19,14,5,0
2014,26,21,4,1
2015,24,23,0,1
2016,21,12,6,3
2017,21,18,3,0
2018,19,13,3,3
2019,29,24,4,1
2021,34,29,5,0
2023,45,36,9,0
2024,24,19,4,1
2025,26,21,4,1
