code,category,label,label_full
C1,Cultural,to represent a masterpiece of human creative genius,Criterion 1 (Cultural) — to represent a masterpiece of human creative genius
C2,Cultural,to exhibit an important interchange of human values,Criterion 2 (Cultural) — to exhibit an important interchange of human values
C3,Cultural,to bear a unique or at least exceptional testimony to a cultural tradition,Criterion 3 (Cultural) — to bear a unique or at least exceptional testimony to a cultural tradition
C4,Cultural,to be an outstanding example of a type of building or architectural ensemble,Criterion 4 (Cultural) — to be an outstanding example of a type of building or architectural ensemble
C5,Cultural,to be an outstanding example of a traditional human settlement or land-use,Criterion 5 (Cultural) — to be an outstanding example of a traditional human settlement or land-use
C6,Cultural,"to be directly or tangibly associated with events, ideas, or living traditions","Criterion 6 (Cultural) — to be directly or tangibly associated with events, ideas, or living traditions"
N7,Natural,to contain superlative natural phenomena or areas of exceptional natural beauty,Criterion 7 (Natural) — to contain superlative natural phenomena or areas of exceptional natural beauty
N8,Natural,to be outstanding examples representing major stages of Earth's history,Criterion 8 (Natural) — to be outstanding examples representing major stages of Earth's history
N9,Natural,to be outstanding examples representing significant ongoing ecological/biological processes,Criterion 9 (Natural) — to be outstanding examples representing significant ongoing ecological/biological processes
N10,Natural,to contain the most important and significant natural habitats for in-situ conservation of biological diversity,Criterion 1 (Natural) — to contain the most important and significant natural habitats for in-situ conservation of biological diversity
